country_code,year,country,population
129,2013,Madagascar,22925
131,2012,Malaisie,29240
131,2013,Malaisie,29717
130,2012,Malawi,15906
130,2013,Malawi,16363
132,2012,Maldives,338
132,2013,Maldives,345
133,2012,Mali,14854
133,2013,Mali,15302
134,2012,Malte,428
134,2013,Malte,429
143,2012,Maroc,32521
143,2013,Maroc,33008
137,2012,Maurice,1240
137,2013,Maurice,1244
136,2012,Mauritanie,3796
136,2013,Mauritanie,3890
138,2012,Mexique,120847
138,2013,Mexique,122332
141,2012,Mongolie,2796
141,2013,Mongolie,2839
273,2012,Monténégro,621
273,2013,Monténégro,621
144,2012,Mozambique,25203
144,2013,Mozambique,25834
28,2012,Myanmar,52797
28,2013,Myanmar,53259
147,2012,Namibie,2259
147,2013,Namibie,2303
149,2012,Népal,27474
149,2013,Népal,27797
157,2012,Nicaragua,5992
157,2013,Nicaragua,6080
158,2012,Niger,17157
158,2013,Niger,17831
159,2012,Nigéria,168834
159,2013,Nigéria,173615
162,2012,Norvège,4994
162,2013,Norvège,5043
153,2012,Nouvelle-Calédonie,253
153,2013,Nouvelle-Calédonie,256
156,2012,Nouvelle-Zélande,4460
156,2013,Nouvelle-Zélande,4506
221,2012,Oman,3314
221,2013,Oman,3632
226,2012,Ouganda,36346
226,2013,Ouganda,37579
235,2012,Ouzbékistan,28541
235,2013,Ouzbékistan,28934
165,2012,Pakistan,179160
165,2013,Pakistan,182143
166,2012,Panama,3802
166,2013,Panama,3864
169,2012,Paraguay,6687
169,2013,Paraguay,6802
150,2012,Pays-Bas,16714
150,2013,Pays-Bas,16759
170,2012,Pérou,29988
170,2013,Pérou,30376
171,2012,Philippines,96707
171,2013,Philippines,98394
173,2012,Pologne,38211
173,2013,Pologne,38217
70,2012,Polynésie française,274
70,2013,Polynésie française,277
174,2012,Portugal,10604
174,2013,Portugal,10608
37,2012,République centrafricaine,4525
37,2013,République centrafricaine,4616
117,2012,République de Corée,49003
117,2013,République de Corée,49263
146,2012,République de Moldova,3514
146,2013,République de Moldova,3487
