Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","5000","Monde","5072","Variation de stock","2513","Orge","2013","2013","Milliers de tonnes","876","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5911","Exportations - Quantité","2513","Orge","2013","2013","Milliers de tonnes","41587","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","140436","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5521","Aliments pour animaux","2513","Orge","2013","2013","Milliers de tonnes","92660","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5527","Semences","2513","Orge","2013","2013","Milliers de tonnes","8803","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5123","Pertes","2513","Orge","2013","2013","Milliers de tonnes","4624","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5131","Traitement","2513","Orge","2013","2013","Milliers de tonnes","26905","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5154","Autres Utilisations","2513","Orge","2013","2013","Milliers de tonnes","656","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","6794","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","0.97","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2513","Orge","2013","2013","Kcal/personne/jour","7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2513","Orge","2013","2013","g/personne/jour","0.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2513","Orge","2013","2013","g/personne/jour","0.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","1017031","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5611","Importations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","122690","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5072","Variation de stock","2514","Maïs","2013","2013","Milliers de tonnes","-55136","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5911","Exportations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","128786","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","955798","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5521","Aliments pour animaux","2514","Maïs","2013","2013","Milliers de tonnes","546110","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5527","Semences","2514","Maïs","2013","2013","Milliers de tonnes","6838","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5123","Pertes","2514","Maïs","2013","2013","Milliers de tonnes","40703","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5131","Traitement","2514","Maïs","2013","2013","Milliers de tonnes","47649","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5154","Autres Utilisations","2514","Maïs","2013","2013","Milliers de tonnes","189390","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","125181","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs","2013","2013","kg","17.89","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2514","Maïs","2013","2013","Kcal/personne/jour","147","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2514","Maïs","2013","2013","g/personne/jour","3.58","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2514","Maïs","2013","2013","g/personne/jour","1.26","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","5511","Production","2515","Seigle","2013","2013","Milliers de tonnes","16711","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5611","Importations - Quantité","2515","Seigle","2013","2013","Milliers de tonnes","2256","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5072","Variation de stock","2515","Seigle","2013","2013","Milliers de tonnes","-23","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5911","Exportations - Quantité","2515","Seigle","2013","2013","Milliers de tonnes","2374","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","16570","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5521","Aliments pour animaux","2515","Seigle","2013","2013","Milliers de tonnes","8099","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5527","Semences","2515","Seigle","2013","2013","Milliers de tonnes","1264","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5123","Pertes","2515","Seigle","2013","2013","Milliers de tonnes","562","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5131","Traitement","2515","Seigle","2013","2013","Milliers de tonnes","1120","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5154","Autres Utilisations","2515","Seigle","2013","2013","Milliers de tonnes","21","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","5505","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2515","Seigle","2013","2013","kg","0.79","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2515","Seigle","2013","2013","Kcal/personne/jour","6","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2515","Seigle","2013","2013","g/personne/jour","0.16","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2515","Seigle","2013","2013","g/personne/jour","0.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","5511","Production","2516","Avoine","2013","2013","Milliers de tonnes","23813","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5611","Importations - Quantité","2516","Avoine","2013","2013","Milliers de tonnes","3712","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5072","Variation de stock","2516","Avoine","2013","2013","Milliers de tonnes","-578","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5911","Exportations - Quantité","2516","Avoine","2013","2013","Milliers de tonnes","3538","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","23410","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5521","Aliments pour animaux","2516","Avoine","2013","2013","Milliers de tonnes","16252","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5527","Semences","2516","Avoine","2013","2013","Milliers de tonnes","2487","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5123","Pertes","2516","Avoine","2013","2013","Milliers de tonnes","520","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5131","Traitement","2516","Avoine","2013","2013","Milliers de tonnes","36","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5154","Autres Utilisations","2516","Avoine","2013","2013","Milliers de tonnes","207","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","3909","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2516","Avoine","2013","2013","kg","0.56","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2516","Avoine","2013","2013","Kcal/personne/jour","3","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2516","Avoine","2013","2013","g/personne/jour","0.13","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2516","Avoine","2013","2013","g/personne/jour","0.05","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","5000","Monde","5511","Production","2517","Millet","2013","2013","Milliers de tonnes","28909","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5611","Importations - Quantité","2517","Millet","2013","2013","Milliers de tonnes","349","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5072","Variation de stock","2517","Millet","2013","2013","Milliers de tonnes","933","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5911","Exportations - Quantité","2517","Millet","2013","2013","Milliers de tonnes","279","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Bilans Alimentaires","5000","Monde","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","29913","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
